Gemeente;Straat;Datum;Tijd_cleaned;Tijd;Nr.;Hecto;Kruispunt met;Info;Best.1;Leeft.1;Gesl.1;Best.2;Leeft.2;Gesl.2;Best.3;Leeft.3;Gesl.3;Best.4;Leeft.4;Gesl.4;Ongevalsfactoren;Type aanrijding;Gevolg;PV nr.;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;18/09/2005;1330;13u30;48;;;;auto;21_30;ml;auto;60+;ml;auto;21_30;ml;;;;onoplettend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;4/07/2005;1640;16u40;14;;;uitrit ALDI;auto;onb;ml;auto;onb;ml;;;;;;;onbekend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Genkerbaan;15/11/2005;1605;16u05;;;;aan ambicafé;autobus;41_50;ml;auto;60+;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;30/01/2005;1445;14u45;;;Kruisstraat;;auto;41_50;ml;auto;21_30;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Plockroy;17/11/2005;1715;17u15;;;Vliegeneinde;;auto;51_60;vr;auto;60+;ml;;;;;;;tijdens manouvreren/parkeren;tegen hindernis buiten rijbaan;schade;TG.91.L7.200333/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Grote Baan;26/09/2005;1315;13u15;;20 200;Betonweg;;auto;21_30;vr;vrachtwagen;21_30;ml;;;;;;;onoplettend;langs achteren;gewond;TG.81.L7.200276/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Grote Baan;10/01/2005;1800;18u00;;;;;mobilhome;41_50;ml;;;;;;;;;;hindernis op de rijbaan;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Grote Baan;5/03/2005;0910;09u10;;;Betonweg;;auto;21_30;ml;auto;41_50;ml;;;;;;;fout inhalen;langs opzij;schade;TG.91.L7.200065/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Heidestraat;10/05/2005;1800;18u00;;;;;auto;21_30;ml;;;;;;;;;;hindernis op de rijbaan;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Heikantstraat;11/03/2005;0235;02u35;;;Schutterslaan;;auto;21_30;ml;;;;;;;;;;onoplettend;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200073/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;8/10/2005;1210;12u10;48;;;;(brom)fiets;10_20;vr;auto;41_50;ml;;;;;;;onbekend;onbekend;gewond;TG.81.L7.200292/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;25/09/2005;1715;17u15;;;Kruisstraat;;auto;21_30;vr;auto;21_30;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200275/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;31/08/2005;2110;21u10;;;;;auto;onb;ml;auto;onb;ml;;;;;;;onoplettend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;5/12/2005;1730;17u30;13;;;Dexia;auto;41_50;ml;;;;;;;;;;onbekend;tegen geparkeerd voertuig;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;17/11/2005;;;;;;;vrachtwagen;31_40;ml;auto;41_50;vr;;;;;;;geen voorrang;onbekend;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Hoogstraat;4/06/2005;1125;11u25;57;;;;auto;21_30;ml;auto;21_30;ml;;;;;;;tijdens manouvreren/parkeren;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Kabienstraat;11/02/2005;1710;17u10;;;Weg naar As;;auto;31_40;vr;auto;60+;vr;;;;;;;onjuiste plaats op de rijbaan;langs opzij;gewond;TG.81.L7.200040/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Kerkplein;16/05/2005;0830;08u30;2;;;;auto;onb;ml;auto;onb;onb;;;;;;;onbekend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Kerkplein;15/09/2005;1800;18u00;10;;;;onbekend;onb;onb;;;;;;;;;;onbekend;tegen geparkeerd voertuig;schade;TG.91.L7.200260/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Kiëstraat;11/06/2005;;;9;;;;auto;51_60;ml;auto;21_30;vr;;;;;;;geen voorrang;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Klein Gestel;12/09/2005;1630;16u30;;;;;vrachtwagen;onb;onb;;;;;;;;;;onjuiste plaats op de rijbaan;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Klein Heidestraat;7/02/2005;0700;07u00;;;;aan carwash;auto;onb;onb;lichte vracht;onb;onb;;;;;;;onbekend;onbekend;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Kruisstraat;21/12/2005;1210;12u10;;;Beemdstraat;;auto;60+;vr;autobus;41_50;ml;;;;;;;tijdens manouvreren/parkeren;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Leemakkerstraat;26/05/2005;1632;16u32;;;;;auto;41_50;vr;auto;31_40;ml;;;;;;;geen voorrang;aanhangwagen kantelt;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Martinlaan;2/01/2005;1200;12u00;3;;;;lichte vracht;31_40;ml;auto;41_50;ml;;;;;;;onverantwoord rijgedrag;langs opzij;schade;TG.91.L7.200001/2005;;;;;;;;;;;;;;;;;
