Gemeente;Straat;Datum;Tijd_cleaned;Tijd;Nr.;Hecto;Kruispunt met;Info;Best.1;Leeft.1;Gesl.1;Best.2;Leeft.2;Gesl.2;Best.3;Leeft.3;Gesl.3;Best.4;Leeft.4;Gesl.4;Ongevalsfactoren;Type aanrijding;Gevolg;PV nr.;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;12/04/2005;0000;00u00;;8 900;Pexhofweg;;auto;31_40;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200104/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;7/11/2005;0100;01u00;;;;;auto;31_40;vr;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;10/05/2005;2210;22u10;;;;;onbekend;onb;onb;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;18/01/2005;1830;18u30;;;;;auto;31_40;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;1/10/2005;0315;03u15;;9 300;;Krp Fietsroutenetwerk;auto;31_40;ml;;;;;;;;;;onbekend;tegen hindernis op de rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;13/02/2005;1605;16u05;;;Weg naar Opitter;;auto;21_30;vr;lichte vracht;41_50;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;28/08/2005;2215;22u15;;;;;auto;51_60;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;schade;TG.91.L7.200237/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;12/02/2005;2128;21u28;;;Weg naar As;;auto;41_50;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis op de rijbaan;schade;TG.91.L7.200041/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg naar Opoeteren;4/06/2005;0300;03u00;;;;aan kasteel;auto;onb;onb;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;TG.91.L7.200160/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;24/07/2005;;;;34 000;;;(brom)fiets;60+;ml;;;;;;;;;;andere;geen - gevallen;gewond;TG.81.L7.200209/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;17/07/2005;0430;04u30;;31 500;;;auto;31_40;ml;auto;21_30;ml;;;;;;;onverantwoord rijgedrag;frontaal;gewond;TG.81.L7.200204/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;8/05/2005;1855;18u55;;32 900;;fietrouteoversteekplaats;auto;21_30;ml;auto;31_40;ml;;;;;;;controleverlies;frontaal;gewond;TG.81.L7.200139/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;14/02/2005;0810;08u10;;32 400;;fietrouteoversteekplaats;auto;21_30;vr;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200043/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;23/09/2005;1630;16u30;;32 500;;;auto;41_50;vr;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200271/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;6/08/2005;1100;11u00;;;;;auto;onb;ml;;;;;;;;;;verlies van lading;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;17/03/2005;1315;13u15;;;;;auto;41_50;ml;vrachtwagen;onb;onb;;;;;;;verlies van lading;tegen hindernis op de rijbaan;schade;TG.91.L7.200078/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;11/08/2005;1745;17u45;;;;al in opglabeek rotonde;lichte vracht;41_50;ml;onbekend;onb;onb;;;;;;;te weinig afstand;bij kruisen (spiegels);schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;6/12/2005;;;;32 500;;;lichte vracht;21_30;vr;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;19/05/2005;0130;01u30;;;;;auto;31_40;vr;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;7/08/2005;2200;22u00;;32 700;;;auto;60+;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;6/06/2005;0100;01u00;;33 380;;;auto;60+;ml;auto;21_30;vr;;;;;;;andere;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;3/08/2005;1400;14u00;;;Dampstraat;;traag vervoer;21_30;ml;lichte vracht;41_50;ml;;;;;;;fout inhalen;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg nr. Zwartberg;25/02/2005;1100;11u00;;34 400;Dampstraat;;auto;60+;ml;auto;21_30;ml;;;;;;;fout inhalen;langs opzij;schade;TG.91.L7.200056/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;23/11/2005;0605;06u05;37;3800;;;auto;31_40;ml;auto;31_40;ml;;;;;;;extreem uitwijken;frontaal;gewond;TG.81.L7.200341/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;23/09/2005;1700;17u00;;;;;auto;31_40;ml;auto;21_30;ml;auto;31_40;ml;;;;onoplettend;langs achteren;gewond;TG.81.L7.200274/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;10/02/2005;1125;11u25;23;37 800;;;auto;21_30;vr;auto;21_30;vr;;;;;;;onoplettend;langs achteren;gewond;TG.81.L7.200037/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;18/01/2005;0040;00u40;;40 100;Venstraat;;auto;31_40;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200011/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;12/04/2005;0745;07u45;;;Klein Heidestraat;;auto;31_40;vr;auto;21_30;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200106/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;25/04/2005;1445;14u45;;;Wijshagerkiezel;;autobus;41_50;ml;auto;21_30;ml;;;;;;;tijdens manouvreren/parkeren;langs achteren;gewond;TG.81.L7.200125/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;7/04/2005;2130;21u30;;;;;auto;31_40;ml;;;;;;;;;;tegen hindernis op rijbaan;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;7/12/2005;2115;21u15;47;;;;auto;31_40;vr;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;11/09/2005;0900;09u00;;;;;auto;31_40;ml;auto;onb;onb;;;;;;;te weinig afstand;bij kruisen (spiegels);schade;TG.91.L7.200254/2005;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;11/12/2005;1100;11u00;129;39 600;;;auto;41_50;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;17/07/2005;1700;17u00;;;;;auto;21_30;ml;;;;;;;;;;ongeval met dier;frontaal;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;6/10/2005;0600;06u00;;;;;auto;21_30;ml;auto;51_60;ml;;;;;;;onoplettend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;11/02/2005;1730;17u30;;;;;lichte vracht;51_60;ml;auto;21_30;vr;;;;;;;onbekend;onbekend;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;20/10/2005;;;;;;;auto;onb;ml;auto;onb;onb;;;;;;;onbekend;onbekend;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;21/06/2005;1515;15u15;74;;;;auto;51_60;ml;lichte vracht;31_40;ml;;;;;;;onbekend;langs achteren;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;30/10/2005;0952;09u52;;;Wijshagerkiezel;;auto;60+;ml;auto;41_50;vr;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;27/02/2005;0835;08u35;;;Boendersstraat;;auto;60+;vr;lichte vracht;41_50;ml;;;;;;;geen voorrang;langs opzij;schade;TG.91.L7.200058/2005;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;2/07/2005;1000;10u00;;;Martinlaan;;auto;60+;vr;auto;31_40;ml;;;;;;;geen voorrang;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;27/02/2005;0850;08u50;;;Dorpsstraat;;auto;21_30;ml;auto;41_50;ml;;;;;;;onverantwoord rijgedrag;langs opzij;schade;geen PV;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Weg op Bree;24/06/2005;0400;04u00;129;39 600;;;auto;41_50;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;TG.91.L7.200179/2005;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Wijshagerkiezel;15/09/2005;1700;17u00;;;;;traag vervoer;onb;onb;auto;onb;onb;;;;;;;te weinig afstand;bij kruisen (spiegels);schade;TG.91.L7.200256/2005;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Wijshagerkiezel;26/12/2005;0945;09u45;;;;in bocht;auto;onb;ml;auto;onb;onb;;;;;;;te weinig afstand;bij kruisen (spiegels);schade;geen PV;;;;;;;;;;;;;;;;
MEEUWEN-GRUITRODE;Wijshagerkiezel;15/04/2005;0930;09u30;;;Martinlaan;;auto;31_40;vr;lichte vracht;21_30;ml;;;;;;;geen voorrang;tegen hindernis buiten rijbaan;schade;geen PV;;;;;;;;;;;;;;;;
KINROOI;Belestraat;24/03/2005;1445;14u45;66;;;;traag vervoer;60+;ml;auto;51_60;vr;;;;;;;fout inhalen;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;6/02/2005;1200;12u00;;;Manestraat;;lichte vracht;51_60;ml;auto;51_60;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200033/2005;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;26/12/2005;1730;17u30;306;;;;(brom)fiets;10_20;ml;(brom)fiets;51_60;ml;;;;;;;onjuiste plaats op de rijbaan;frontaal;gewond;TG.81.L7.200375/2005;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;13/12/2005;;;;;Vierstraat;;auto;onb;ml;auto;onb;ml;;;;;;;onverantwoord rijgedrag;frontaal;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;27/10/2005;1920;19u20;;;Weertersteenweg;;auto;31_40;vr;lichte vracht;41_50;ml;;;;;;;onverantwoord rijgedrag;langs achteren;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;12/07/2005;1730;17u30;;;;;vrachwagen;41_50;ml;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;14/11/2005;1635;16u35;;;Weertersteenweg;;lichte vracht;31_40;ml;(brom)fiets;10_20;vr;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;3/06/2005;1530;15u30;;;;;auto;60+;ml;auto;51_60;ml;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;11/04/2005;0710;07u10;;3600;Hoverstraat;;auto;41_50;vr;auto;21_30;ml;lichte vracht;41_50;ml;;;;fout inhalen;langs achteren;schade;TG.91.L7.200102/2005;;;;;;;;;;;;;;;;
KINROOI;Breeërsteenweg;22/01/2005;1020;10u20;268;;;;traag vervoer;51_60;ml;;;;;;;;;;verlies lading;tegen geparkeerd voertuig;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Breivinstraat;26/08/2005;2330;23u30;4;;;;auto;10_20;ml;;;;;;;;;;GEEN RIJBEWIJS;tegen hindernis buiten rijbaan;schade;TG.91.L7.200234/2005;;;;;;;;;;;;;;;;
KINROOI;De Belder;8/08/2005;1330;13u30;;;;;auto;21_30;vr;auto;31_40;vr;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Dolenweg;6/02/2005;1641;16u41;;;Manestraat;;(brom)fiets;41_50;vr;(brom)fiets;41_50;ml;;;;;;;onbekend;geen - gevallen;gewond;TG.81.L7.200034/2005;;;;;;;;;;;;;;;;
KINROOI;Dorpsplein;13/12/2005;1600;16u00;;;;;(brom)fiets;10_20;vr;auto;onb;onb;;;;;;;onbekend;onbekend;gewond;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Dorpsplein;12/11/2005;1500;15u00;4;;;parking Kwaspen;onbekend;onb;onb;;;;;;;;;;tijdens manouvreren/parkeren;tegen geparkeerd voertuig;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Dorpsstraat;22/06/2005;1553;15u53;;;Breeërsteenweg;rotonde;auto;onb;ml;vrachtwagen ;onb;onb;;;;;;;onjuiste plaats op de rijbaan;tegen geparkeerd voertuig;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Drietak;2/04/2005;0115;01u15;;;;;lichte vracht;41_50;vr;auto;51_60;ml;;;;;;;onverantwoord rijgedrag;bij kruisen (spiegels);schade;TG.91.L7.200092/2005;;;;;;;;;;;;;;;;
KINROOI;Dwarsstraat;29/12/2005;1305;13u05;10;;;;auto;21_30;ml;;;;;;;;;;controleverlies;tegen geparkeerd voertuig;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Fosheistraat;10/02/2005;1550;15u50;;;Heikempstraat;;auto;21_30;vr;auto;41_50;onb;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200038/2005;;;;;;;;;;;;;;;;
KINROOI;Grootbroekstraat;5/08/2005;1445;14u45;;;;;auto;21_30;vr;traag vervoer;41_50;ml;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200223/2005;;;;;;;;;;;;;;;;
KINROOI;Grote Kerkstraat;22/09/2005;1645;16u45;;;;;auto;31_40;vr;(brom)fiets;10_20;ml;;;;;;;onbekend;onbekend;schade;TG.91.L7.200269/2005;;;;;;;;;;;;;;;;
KINROOI;Grote Kerkstraat;1/10/2005;1130;11u30;6;;;;auto;60+;ml;;;;;;;;;;tijdens manouvreren/parkeren;tegen geparkeerd voertuig;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Heggestraat;28/04/2005;;;;;Grootbroekstraat;;auto;41_50;ml;auto;41_50;ml;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Heikempstraat;17/05/2005;;;;;Breivinstraat;;auto;onb;ml;auto;onb;vr;;;;;;;geen voorrang;langs opzij;gewond;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Hoogveldstraat;20/08/2005;1620;16u20;;;;;(brom)fiets;51_60;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200230/2005;;;;;;;;;;;;;;;;
KINROOI;Hurkenstraat;8/11/2005;;;;;;;auto;51_60;vr;auto;60+;ml;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Itterstraat;1/04/2005;2230;22u30;9;;Nagelstraat;;auto;21_30;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200091/2005;;;;;;;;;;;;;;;;
KINROOI;Kasteelstraat;21/08/2005;1530;15u30;;;;;auto;onb;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200231/2005;;;;;;;;;;;;;;;;
KINROOI;Kasteelstraat;16/10/2005;1315;13u15;17;;;;auto;51_60;vr;;;;;;;;;;andere;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200302/2005;;;;;;;;;;;;;;;;
KINROOI;Kessenicherweg;2/05/2005;2345;23u45;;;;;lichte vracht;10_20;ml;;;;;;;;;;extreem uitwijken;tegen hindernis buiten rijbaan;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Keyersstraat;28/01/2005;;;;;Bekerstraat;;auto;31_40;vr;auto;21_30;vr;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Kloosterstraat;17/08/2005;0830;08u30;8;;;;auto;31_40;vr;;;;;;;;;;tijdens manouvreren/parkeren;tegen hindenris bui;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Kruisstraat;11/08/2005;1410;14u10;;;Simpelstraat;;auto;21_30;ml;auto;51_60;vr;;;;;;;geen voorrang;frontaal;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Lakerweg;19/09/2005;0815;08u15;;;;;auto;31_40;vr;(brom)fiets;10_20;vr;;;;;;;geen voorrang;langs achteren;gewond;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Leustraat;28/08/2005;1745;17u45;47;;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200236/2005;;;;;;;;;;;;;;;;
KINROOI;Maasstraat;28/03/2005;1040;10u40;;;Haansberg;;(brom)fiets;10_20;ml;auto;31_40;ml;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Maasstraat;28/07/2005;0345;03u45;14;;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen geparkeerd voertuig;schade;TG.91.L7.200212/2005;;;;;;;;;;;;;;;;
KINROOI;Maasstraat;16/05/2005;0115;01u15;;;Putstraatje;;auto;41_50;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;TG.91.L7.200149/2005;;;;;;;;;;;;;;;;
KINROOI;Meierstraat;26/12/2005;1500;15u00;;;;aan grindgaten;lichte vracht;31_40;ml;;;;;;;;;;onjuiste plaats op de rijbaan;tegen hindernis buiten rijbaan;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Merrenhofstraat;24/08/2005;1725;17u25;18;;;;auto;41_50;ml;lichte vracht;31_40;ml;;;;;;;fout inhalen;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Neeroetersesteenweg;26/04/2005;0830;08u30;;;Basdonkstraat;;auto;41_50;ml;auto;41_50;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200126/2005;;;;;;;;;;;;;;;;
KINROOI;Neeroetersesteenweg;24/01/2005;1800;18u00;;;;;auto;onb;ml;;;;;;;;;;ongeval met dier;frontaal;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Neeroetersesteenweg;11/03/2005;0800;08u00;3;;;;onbekend;onb;onb;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Oude Kerkstraat;2/09/2005;1840;18u40;;;Slichtestraat;;auto;60+;ml;(brom)fiets;10_20;vr;;;;;;;andere;langs opzij;gewond;TG.81.L7.200241/2005;;;;;;;;;;;;;;;;
KINROOI;Pastorijstraat;28/05/2005;0300;03u00;3;;;kerkhof;auto;10_20;ml;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;TG.91.L7.200156/2005;;;;;;;;;;;;;;;;
KINROOI;Pekstraatje;10/03/2005;;;;;;;auto;onb;onb;(brom)fiets;60+;vr;;;;;;;tijdens manouvreren/parkeren;langs opzij;gewond;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Raam;7/06/2005;1620;16u20;;;Heinestraat;;auto;21_30;vr;lichte vracht;31_40;ml;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200165/2005;;;;;;;;;;;;;;;;
KINROOI;Raamdijk;20/01/2005;0330;03u30;1;;;;auto;21_30;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200013/2005;;;;;;;;;;;;;;;;
KINROOI;Raamdijk;28/12/2005;1533;15u33;;;;;onbekend;onb;onb;onbekend;onb;onb;;;;;;;onbekend;onbekend;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Rozenstraat;11/05/2005;0745;07u45;;;Zielderveld;;(brom)fiets;10_20;ml;auto;31_40;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200147/2005;;;;;;;;;;;;;;;;
KINROOI;Schansstraat;6/05/2005;1715;17u15;7;;;;auto;41_50;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;schade;TG.91.L7.200134/2005;;;;;;;;;;;;;;;;
KINROOI;Schoolstraat;10/12/2005;2000;20u00;24;;;;auto;21_30;ml;;;;;;;;;;ongeval met dier;frontaal;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Truyenstraat;25/02/2005;;;;;;;onbekend;onb;onb;;;;;;;;;;onbekend;onbekend;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Veldstraat;4/04/2005;1340;13u40;;;Venlosesteenweg;;(brom)fiets;10_20;ml;auto;10_20;vr;;;;;;;tijdens manouvreren/parkeren;frontaal;gewond;TG.81.L7.200095/2005;;;;;;;;;;;;;;;;
KINROOI;Veldstraat;9/05/2005;;;39;;;;auto;51_60;ml;auto;60+;ml;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Venderstraat;4/03/2005;0805;08u05;32;;;;lichte vracht;21_30;ml;auto;41_50;ml;;;;;;;onbekend;langs achteren;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;24/06/2005;1535;15u35;;40 400;'t Meulke;;auto;41_50;ml;auto;31_40;ml;;;;;;;geen voorrang;langs opzij;dood;TG.87.L7.200182/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;7/05/2005;1405;14u05;;39 700;;;auto;onb;ml;auto;41_50;ml;;;;;;;tijdens manouvreren/parkeren;langs achteren ;gewond;TG.81.L7.200136/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;28/07/2005;1415;14u15;373;;;;auto;41_50;vr;auto;60+;ml;;;;;;;onoplettend;langs achteren;gewond;TG.81.L7.200213/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;18/12/2005;2115;21u15;;;Breeërsteenweg;;auto;41_50;ml;auto;onb;onb;;;;;;;onbekend;langs achteren;gewond;TG.81.L7.200366/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;2/04/2005;0930;09u30;;;Toekomststraat;;(brom)fiets;10_20;ml;auto;51_60;vr;;;;;;;onjuiste plaats op de rijbaan;langs opzij;gewond;TG.81.L7.200096/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;29/07/2005;1400;14u00;;42 300;Veldstraat;;lichte vracht;51_60;ml;auto;41_50;vr;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200215/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;11/01/2005;1030;10u30;;;Toekomststraat;;auto;60+;ml;vrachtwagen;31_40;ml;;;;;;;geen voorrang;langs opzij;gewond;TG.81.L7.200007/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;16/07/2005;0555;05u55;48;;;;auto;51_60;vr;auto;21_30;ml;;;;;;;foutief inhalen;langs opzij;gewond;TG.81.L7.200203/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;11/05/2005;0340;03u40;364;;Veldstraat;;lichte vracht;31_40;ml;;;;;;;;;;onverantwoord rijgedrag;tegen hindernis buiten rijbaan;gewond;TG.81.L7.200140/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;1/08/2005;2015;20u15;158;;;;moto;21_30;ml;;;;;;;;;;controlverlies;geen - gevallen;gewond;TG.81.L7.200218/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;10/03/2005;1330;13u30;95;;;krantenwinkel;(brom)fiets;60+;vr;auto;onb;onb;;;;;;;tijdens manouvreren/parkeren;langs opzij;gewond;TG.81.L7.200074/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;15/02/2005;2300;23u00;;50 000;;;auto;21_30;ml;;;;;;;;;;onoplettend;tegen hindernis op de rijbaan;schade;TG.91.L7.200045/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;27/03/2005;0030;00u30;;;Breeërsteenweg;;onbekend;onb;onb;onbekend;onb;onb;;;;;;;onbekend;onbekend;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;28/11/2005;1955;19u55;334;;;;auto;21_30;ml;auto;31_40;ml;;;;;;;onbekend;langs achteren;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;24/02/2005;0140;01u40;;;;;auto;41_50;ml;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;TG.91.L7.200062/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;18/04/2005;1400;14u00;;;;kerkhof;lichte vracht;21_30;ml;;;;;;;;;;onbekend;tegen hindernis buiten rijbaan;schade;TG.91.L7.200115/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;1/10/2005;1030;10u30;138;;;;auto;51_60;ml;;;;;;;;;;controleverlies;tegen hindernis buiten rijbaan;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;26/11/2005;0330;03u30;16;;;;auto;41_50;ml;;;;;;;;;;controleverlies;tegen hindernis op de rijbaan;schade;TG.91.L7.200347/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;5/08/2005;1610;16u10;71;;;;auto;21_30;ml;auto;51_60;vr;;;;;;;geen voorrang;langs opzij;schade;Geen PV;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;19/02/2005;1000;10u00;358;;Veldstraat;;auto;31_40;vr;auto;51_60;vr;;;;;;;geen voorrang;langs opzij;schade;TG.91.L7.200061/2005;;;;;;;;;;;;;;;;
KINROOI;Venlosesteenweg;19/07/2005;1715;17u15;68;;;;auto;60+;ml;auto;31_40;ml;;;;;;;geen voorrang;langs achteren;schade;Geen PV;;;;;;;;;;;;;;;;
